City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,San Jeronimo,PE,-11.9472,-75.2829,55.92,62,89,0.76,overcast clouds
158,Drovyanaya,RU,51.5833,113.0333,51.1,72,1,12.75,clear sky
159,Kodiak,US,57.79,-152.4072,65.71,42,75,16.11,broken clouds
160,Klaksvik,FO,62.2266,-6.589,52.72,91,100,5.95,overcast clouds
161,Kautokeino,NO,69.0125,23.0412,48.85,88,100,12.35,light rain
162,Scottsbluff,US,41.8666,-103.6672,86.77,44,0,17.27,clear sky
163,Enniscorthy,IE,52.5008,-6.5578,58.82,88,54,5.55,broken clouds
164,La Palma,US,33.8464,-118.0467,105.49,51,0,10.36,clear sky
165,Ribeira Grande,PT,38.5167,-28.7,75.6,83,40,5.75,scattered clouds
166,Chuy,UY,-33.6971,-53.4616,46.78,81,100,5.59,overcast clouds
167,Paita,PE,-5.0892,-81.1144,65.44,78,30,18.99,scattered clouds
168,Saint George,US,37.1041,-113.5841,98.8,22,0,13.8,clear sky
169,Mawlaik,MM,23.6333,94.4167,74.41,99,45,1.03,moderate rain
170,Khatanga,RU,71.9667,102.5,58.59,71,45,7.2,scattered clouds
171,Cape Town,ZA,-33.9258,18.4232,57.88,86,0,7.0,clear sky
172,Santa Rosa,PH,14.3122,121.1114,79.11,93,100,3.58,overcast clouds
173,Kota Tinggi,MY,1.7381,103.8999,80.64,92,79,2.06,broken clouds
174,San Rafael,AR,-34.6177,-68.3301,38.19,92,100,11.88,overcast clouds
175,Pochutla,MX,15.7432,-96.4661,86.83,73,90,6.06,overcast clouds
176,Tilichiki,RU,60.4667,166.1,61.48,67,98,5.99,overcast clouds
177,Kedrovyy,RU,56.1667,91.8167,43.21,78,67,3.02,broken clouds
178,Matay,EG,28.419,30.7792,83.55,35,5,12.1,clear sky
179,Zatoka,UA,46.0725,30.4654,76.73,71,18,9.86,few clouds
180,Ternate,ID,0.8,127.4,80.22,79,100,1.74,overcast clouds
181,Shenjiamen,CN,29.9576,122.298,82.9,84,18,18.32,few clouds
182,Severnoye,RU,56.3491,78.3619,57.06,98,100,5.82,overcast clouds
183,Alice Springs,AU,-23.7,133.8833,35.15,64,0,0.0,clear sky
184,Torbay,CA,47.6666,-52.7314,66.97,78,40,5.75,scattered clouds
185,Pangkalanbuun,ID,-2.6833,111.6167,71.11,95,94,2.13,overcast clouds
186,Kahului,US,20.8947,-156.47,93.22,38,40,17.27,scattered clouds
187,Ahipara,NZ,-35.1667,173.1667,59.5,94,100,12.1,light rain
188,Ancud,CL,-41.8697,-73.8203,44.22,76,99,7.56,overcast clouds
189,Hay River,CA,60.8156,-115.7999,73.38,49,93,4.61,overcast clouds
190,Teya,RU,60.3778,92.6267,52.25,92,100,2.71,overcast clouds
191,Pedasi,PA,7.5333,-80.0333,79.07,83,100,10.83,overcast clouds
192,Cayenne,GF,4.9333,-52.3333,83.08,1,0,5.75,clear sky
193,Smithers,CA,54.7804,-127.1743,71.92,49,75,3.44,broken clouds
194,Erzin,TR,36.9559,36.2,74.1,87,7,1.16,clear sky
195,Vieste,IT,41.8825,16.175,80.96,62,0,12.73,clear sky
